    1     0
    2     0
    3     0
    4     2
    5     4
    6    17
    7    19
    8    32
    9    60
   10    84
   11    70
   12    75
   13    63
   14    36
   15    21
   16    13
   17     2
   18     2
   19     0
   20     0
   21     0
    1     0
    2     0
    3     0
    4     3
    5     3
    6    16
    7    25
    8    33
    9    50
   10    82
   11    81
   12    68
   13    53
   14    33
   15    30
   16    14
   17     6
   18     3
   19     0
   20     0
   21     0
    1     0
    2     0
    3     1
    4     1
    5     7
    6    13
    7    23
    8    39
    9    54
   10    68
   11    72
   12    57
   13    68
   14    39
   15    37
   16    12
   17     5
   18     2
   19     2
   20     0
   21     0
